date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
2016-03-13,0.93,36374516.14,11661687.44,13104887.66,1800065.57,9807875.47,7231162.6,2521123.87,55589.0,conventional,2016,Total U.S.
2016-05-29,1.13,280015.07,44168.8,143022.78,136.56,92686.93,79281.93,12975.0,430.0,conventional,2016,Harrisburg/Scranton
2015-06-21,1.27,4508474.0,106859.5,3203944.93,77296.43,1120373.14,1052770.72,66494.05,1108.37,conventional,2015,Northeast
2016-08-14,1.43,415099.81,21070.06,201588.04,5607.24,186834.47,176028.76,9698.25,1107.46,conventional,2016,Philadelphia
2018-10-14,0.98,5173555.11,2829591.6,345983.01,22175.92,1975804.58,1053830.9,869303.68,52670.0,conventional,2018,Southeast
2019-12-08,1.11,466292.27,117140.54,176994.03,4137.66,168020.04,67082.88,93353.51,7583.65,conventional,2019,Sacramento
2016-12-18,1.14,161136.65,908.23,109288.75,4631.16,46308.51,42335.09,3947.09,26.33,conventional,2016,Grand Rapids
2019-12-08,1.32,7650.63,31.6,953.35,0.0,6665.68,5923.66,742.02,0.0,organic,2019,Nashville
2020-01-06,0.99,394956.19,66879.49,226458.48,598.35,101019.87,81236.56,16452.2,3331.11,conventional,2020,Harrisburg/Scranton
2016-07-10,1.11,5370.5,429.9,1722.68,0.0,3217.92,1233.2,1984.72,0.0,organic,2016,Indianapolis
2017-08-27,2.75,1643.45,110.96,503.61,0.0,1028.88,199.13,829.75,0.0,organic,2017,Boise
2016-06-19,1.26,485945.76,53199.36,322695.72,27247.57,82803.11,80128.11,0.0,2675.0,conventional,2016,Northern New England
2015-03-15,1.21,140487.57,4942.49,88080.11,5551.28,41913.69,24140.96,16954.05,818.68,conventional,2015,Indianapolis
2018-12-02,1.69,16553.71,2495.29,3328.96,0.0,10729.46,9803.18,926.28,0.0,organic,2018,West Tex/New Mexico
2020-01-19,0.94,184687.76,33617.38,2664.95,0.0,148405.43,147640.43,765.0,0.0,organic,2020,Denver
2020-05-17,1.24,11446.0,4.0,806.0,0.0,10636.0,4283.0,6353.0,0.0,organic,2020,Louisville
2020-01-19,0.71,381314.44,86382.49,41325.15,10226.89,243379.91,226208.45,14963.15,2208.31,conventional,2020,Cincinnati/Dayton
2018-04-29,0.85,1321951.16,674131.83,179488.66,7407.26,460923.41,318137.7,124395.86,18389.85,conventional,2018,Dallas/Ft. Worth
2016-04-10,1.01,220100.13,60884.25,82433.14,6103.75,70678.99,70654.98,0.0,24.01,conventional,2016,Richmond/Norfolk
2019-06-23,1.84,2011.1,68.61,113.4,1.32,1827.77,1827.77,0.0,0.0,organic,2019,Jacksonville
2015-12-06,1.85,2811.06,1961.6,52.79,0.0,796.67,796.67,0.0,0.0,organic,2015,Orlando
2016-04-10,1.68,14563.78,2.41,548.12,0.0,14013.25,11818.63,2194.62,0.0,organic,2016,Boston
2018-02-18,1.83,27960.77,11.63,1603.22,0.0,26345.92,22938.29,3407.63,0.0,organic,2018,Boston
2019-08-04,1.41,35751881.43,10031521.98,8853237.48,789420.88,16077701.09,10217006.54,5217065.62,643628.93,conventional,2019,Total U.S.
2015-11-08,1.54,605197.12,167254.55,249160.89,4458.45,184323.23,124419.8,59903.43,0.0,organic,2015,Total U.S.
2017-01-08,1.94,2229.52,63.46,478.31,0.0,1687.75,1687.75,0.0,0.0,organic,2017,Albany
2015-06-14,1.75,6913.18,203.17,2924.84,1010.38,2774.79,2179.92,594.87,0.0,organic,2015,Raleigh/Greensboro
2018-09-16,1.29,263672.15,64163.07,72783.96,11721.53,115003.59,69718.69,44786.22,498.68,conventional,2018,Las Vegas
2015-04-12,0.76,840314.58,564694.43,167105.74,11290.94,97223.47,71587.33,25636.14,0.0,conventional,2015,West Tex/New Mexico
2017-03-26,1.34,117686.64,43115.85,27137.5,1559.54,45873.75,38441.55,7432.2,0.0,conventional,2017,Pittsburgh
2018-11-18,1.83,3059.54,1.0,734.24,0.0,2324.3,2040.67,283.63,0.0,organic,2018,Boise
2018-06-17,1.22,390870.27,147674.43,82476.72,5294.77,155424.35,136204.47,19218.77,1.11,conventional,2018,Raleigh/Greensboro
2016-10-30,1.13,576353.94,99369.74,239345.04,16411.08,221228.08,76674.6,144255.79,297.69,conventional,2016,Denver
2016-11-20,1.6,2157.46,6.44,17.68,0.0,2133.34,2113.34,20.0,0.0,organic,2016,Miami/Ft. Lauderdale
2015-06-21,1.27,422723.91,137206.11,215068.66,14700.4,55748.74,55744.3,4.44,0.0,conventional,2015,Sacramento
2016-05-29,1.99,9333.72,1748.33,7197.21,0.0,388.18,388.18,0.0,0.0,organic,2016,Sacramento
2018-11-04,0.74,210757.83,75213.32,23542.61,3322.82,108679.08,29882.5,78793.25,3.33,conventional,2018,Pittsburgh
2015-07-05,1.18,1666825.63,23947.74,1290776.67,5470.64,346630.58,278911.21,67625.57,93.8,conventional,2015,New York
2017-12-31,1.45,18857.67,138.52,209.27,0.0,18509.88,18504.9,4.98,0.0,organic,2017,Harrisburg/Scranton
2018-03-25,1.7,190257.38,29644.09,70982.1,0.0,89631.19,89424.11,207.08,0.0,organic,2018,California
2020-07-19,1.82,189951.92,10853.11,2668.51,8.05,176422.25,59071.97,117350.28,0.0,organic,2020,Los Angeles
2019-06-23,2.17,213642.92,20574.74,49223.92,580.85,143263.41,66556.37,76512.09,194.95,organic,2019,West
2019-05-12,1.38,926021.07,398640.19,30774.72,5914.1,490692.06,220679.18,269956.21,56.67,conventional,2019,Miami/Ft. Lauderdale
2017-03-12,1.35,121869.61,3840.57,42071.43,1856.19,74101.42,34491.91,39609.51,0.0,organic,2017,Midsouth
2020-05-10,1.98,120055.0,25518.0,28169.0,267.0,66101.0,61342.0,4759.0,0.0,organic,2020,New York
2020-08-09,1.46,13636.98,568.64,121.05,3.79,12943.5,12943.5,0.0,0.0,organic,2020,Buffalo/Rochester
2015-04-26,1.92,19634.24,3284.15,12724.89,4.6,3620.6,2616.67,1003.93,0.0,organic,2015,West Tex/New Mexico
2016-12-25,1.47,550947.61,50818.61,344699.92,8529.79,146899.29,142957.45,2629.52,1312.32,conventional,2016,Baltimore/Washington
2018-01-14,1.61,216681.04,52253.4,95353.95,0.0,69073.69,69054.51,19.18,0.0,organic,2018,California
